,Text,labels_encoded
0,OBJECTIVE: To determine if clinically used botulinum exotoxin A (Botox) injections to the forehead and glabellar and crow's-feet regions result in modifications of eyebrow position.,6
1,DESIGN: Prospective study.,17
2,"SETTING: Academic medical center in St Louis, Mo.",17
3,SUBJECTS: Twenty-nine adult patients treated with botulinum exotoxin A injections for rhytids.,8
4,INTERVENTION: The eyebrow position at 13 different sites was measured before injection and 2 weeks after treatment.,18
5,The areas injected were based on patient preference and physician assessment.,11
6,"Of the 29 patients, 14 received injections into the glabella only and 15 received injections into the glabella and forehead, with or without treatment of the crow's-feet.",6
7,"RESULTS: In 29 patients at rest, we found no significant (P value range,.17 to.97) change in eyebrow position, except for a point depression at the right lateral eyebrow.",16
8,"The 15 patients who received injections into the forehead and glabella, with or without treatment of the crow's-feet, had no significant (P value range,.11 to.84) change in eyebrow position, except for a point of depression at the left medial eyebrow.",16
9,Both groups exhibited eyebrow depression in the active state (eyebrow maximally elevated).,16
10,"CONCLUSIONS: Botulinum exotoxin A injections into the forehead and glabellar, and crow's-feet regions did not significantly change the resting eyebrow position.",16
11,"However, forehead injections contributed to eyebrow depression in the active state.",16
12,Inverse psoriasis is a chronic disease frequently treated with topical corticosteroids.,5
13,This retrospective case study evaluated the efficacy of tacrolimus 0.1% ointment to treat inverse psoriasis in children.,7
14,Twelve of 13 patients had complete clearance of their psoriatic lesions within 2 weeks after initiating treatment with topical tacrolimus 0.1%.,7
15,Encephaloceles consist of heterotopic brain tissue that remains connected to the central nervous system.,10
16,"As such, these lesions can occur anywhere along the midline of the head, neck, and back.",10
17,"The clinical findings associated with an encephalocele are often cutaneous, prompting consultation with a dermatologist.",18
18,"Although abnormalities of the skin overlying the spinal cord are readily recognized by our specialty as markers for dysraphism, head and neck lesions may present a diagnostic challenge.",0
19,We describe a case of an anterior encephalocele to increase awareness of this disorder and to emphasize the clinical findings that will assist with diagnosis.,18
20,Our case is of particular interest because of the parasagittal location of the facial nodules and minimal actual midline involvement.,18
21,Nevus comedonicus is a rare developmental defect of the pilosebaceous unit.,10
22,It is also thought to be a variant of epidermal nevus.,10
23,"Previously reported treatments include surgical excision, CO2 laser, dermabrasion, extraction, topical retinoic acid, and numerous topical keratolytics.",5
24,We present a case of a 7-year-old boy with bilateral nevus comedonicus who experienced cosmetic improvement with topical tazarotene and calcipotriene cream.,7
25,This combination represents a novel therapeutic approach to the treatment of this cutaneous abnormality.,9
26,Sarcoidosis is a granulomatous disease with diverse skin manifestations and systemic involvement.,10
27,"We describe an adolescent boy who presented with unilateral scrotal swelling, constitutional symptoms, and a rash.",18
28,Further workup demonstrated lymphadenopathy and pulmonary opacities.,18
29,Granulomas caused by sarcoidosis were identified in biopsy specimens of the epididymis and skin lesions.,18
30,"No acid-fast organisms were found in biopsy specimens, and the patient had negative findings on placement of purified protein derivative (tuberculin).",18
31,The concentration of angiotensin-converting enzyme was not elevated.,18
32,"We discuss pediatric sarcoidosis and, more specifically, intrascrotal sarcoidosis.",10
33,"Mutations in the p63 gene have been identified in five human disorders characterized by varying degrees of limb anomalies, ectodermal dysplasia, and facial clefts.",10
34,"We report a new point mutation in the p63 gene in a family in which the mother was initially diagnosed with Rapp-Hodgkin syndrome and her two offspring manifested ankyloblepharon, ectodermal defects, cleft lip and palate, syndrome.",10
35,"These three patients are the first to be reported with this particular mutation, which consists of a change from glycine to aspartic acid at position 506 on exon 14.",10
36,The clinical spectrum observed in the three family members highlights the wide range of phenotypic variations that result from a single point mutation in the p63 gene.,10
37,"The mother lacks certain features classically associated with AEC, dermatitis of the scalp in particular.",18
38,"Severe erosive dermatitis of the scalp developed in both offspring, along with previously undescribed poikilodermatous skin changes and a deficiency of CD4 T lymphocytes.",10
39,The new and varied phenotypic features noted in these patients emphasize the spectrum of disease caused by mutations in the p63 gene and raise the possibility of a role for it in maintaining immunocompetence.,10
40,BACKGROUND: Keratoelastoidosis marginalis is a rare disease that is a variant of solar elastosis.,10
41,Long-term ultraviolet radiation exposure and chronic trauma secondary to manual labor are considered to be inciting factors.,15
42,OBJECTIVE: To outline the clinical and histological features of this disorder.,17
43,METHODS: We report two cases and review the literature.,17
44,RESULTS: Both patients had persistence of their disease despite multiple topical treatment regimens.,10
45,CONCLUSION: Keratoelastoidosis marginalis is a chronic and progressive disease that is difficult to treat.,10
46,The differential includes focal acral hyperkeratosis and acrokeratoelastoidosis.,18
47,BACKGROUND: Floaters are dislodged pieces of tumor tissue than can obscure Mohs micrographic surgery (MMS) frozen sections and confound their interpretation.,10
48,OBJECTIVE: To understand the common causes of floaters and identify management strategies.,5
